activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2020,2549005SIVTHG14U2905,28740,NY,36111,36111954800,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,4,0,2,1,32,1,2,2,2,145000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,60,2,2,2,2,NA,1,3,3,5,4,NA,0,NA,9,9,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,2,1,6,,,,,10,,,,4783,42.92,83700,69.36,930,1821,61
2020,2549005SIVTHG14U2905,35004,NY,36059,36059412700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,2,0,2,1,31,1,2,2,2,525000.0,75.0,6.5,2.316,3,NA,NA,NA,NA,NA,360,NA,60,2,2,2,2,705000,1,1,3,5,1,NA,7200,<20%,2,10,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,2,5,1,4,65-74,9999,Yes,NA,2,1,6,,,,,10,,,,3802,8.73,126600,154.23,1221,1293,76
2020,2549005SIVTHG14U2905,35004,NY,36059,36059407501,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,2,0,2,1,32,1,2,2,2,385000.0,70.0,7.0,NA,3,NA,NA,NA,NA,NA,360,NA,60,2,2,2,2,555000,1,3,3,5,4,NA,7200,<20%,2,10,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,1,5,1,4,65-74,9999,Yes,NA,2,1,6,,,,,10,,,,5115,96.38,126600,60.95,789,1197,64
2020,2549005SIVTHG14U2905,35004,NY,36103,36103158310,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,0,2,2,1,1,2,2,2,405000.0,96.5,3.625,1.115,2,20272.62,NA,5907.47,4327.47,380.0,360,NA,NA,2,2,2,2,415000,1,1,3,5,1,NA,113,47,3,3,1,,,,,1,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,35-44,No,No,1,1,3,,,,,10,,,,4022,12.21,126600,86.32,1490,1611,24
2020,2549005SIVTHG14U2905,35614,NY,36061,36061010200,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,2,0,2,1,31,1,2,2,2,1465000.0,44.364,5.75,NA,3,NA,NA,NA,NA,NA,360,NA,60,2,2,2,2,3305000,1,3,3,5,1,NA,0,<20%,1,10,2,,,,,5,,,,,2,4,2,25,,,,8,,,,,2,4,1,5,2,4,55-64,9999,No,NA,2,1,6,,,,,10,,,,258,17.44,81800,0,39,11,39
2020,2549005SIVTHG14U2905,35004,NY,36059,36059407000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,2,0,2,1,32,1,2,2,2,235000.0,70.0,6.75,NA,3,NA,NA,NA,NA,NA,360,NA,60,2,2,2,2,335000,1,3,3,5,1,NA,7200,<20%,2,10,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,1,5,1,4,65-74,9999,Yes,NA,2,1,6,,,,,10,,,,8241,98.09,126600,58.3,1068,1872,59
2020,2549005SIVTHG14U2905,35614,NY,36047,36047033600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,31,1,2,2,2,365000.0,58.871,5.115,NA,2,15811.0,NA,8880.0,,,360,NA,84,2,2,2,2,625000,1,3,3,5,1,NA,0,<20%,1,10,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,1,5,1,4,>74,9999,Yes,NA,2,1,6,,,,,10,,,,4008,25.52,81800,102.89,760,1576,76
2020,2549005SIVTHG14U2905,35614,NY,36061,36061019800,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,0,2,1,1,1,2,2,2,665000.0,75.0,7.615,NA,2,17118.53,NA,11592.5,10012.5,25.0,360,NA,60,2,2,2,2,895000,1,3,3,5,3,NA,0,<20%,2,10,1,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,No,NA,1,1,6,,,,,10,,,,2513,85.79,81800,148.05,407,160,22
2020,2549005SIVTHG14U2905,35004,NY,36059,36059519500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,3,0,2,1,1,1,2,2,2,585000.0,80.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,735000,1,1,3,5,1,NA,400,<20%,2,10,2,,,,,5,,,,,2,4,2,21,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,2,1,6,,,,,1,6,,,6132,38.98,126600,95.99,1766,1986,60
2020,2549005SIVTHG14U2905,35614,NY,36047,36047099600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,3,0,2,1,32,1,2,2,2,675000.0,74.176,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,915000,1,3,3,5,2,NA,0,<20%,1,10,2,,,,,5,,,,,1,4,3,,,,,8,,,,,1,4,1,5,1,4,45-54,9999,No,NA,2,1,6,,,,,9,,,,3819,95.21,81800,102.78,646,1255,51
2020,2549005SIVTHG14U2905,35614,NY,36047,36047010800,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,3,0,2,1,1,1,2,2,2,1285000.0,80.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,60,2,2,2,2,1605000,1,3,3,5,2,NA,473,40,1,10,2,,,,,5,,,,,2,4,2,22,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,2,1,6,,,,,4,,,,4267,90.44,81800,40.56,265,986,76
2020,2549005SIVTHG14U2905,35614,NY,36047,36047022900,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,32,1,2,2,2,1355000.0,75.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,60,2,2,2,2,1805000,1,3,3,5,3,NA,0,<20%,1,10,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,1,5,1,4,45-54,9999,No,NA,2,1,6,,,,,9,,,,3780,67.67,81800,66.07,369,1142,76
2020,2549005SIVTHG14U2905,35004,NY,36103,36103170101,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,32,1,2,2,2,415000.0,70.875,5.625,NA,2,17956.33,NA,11945.45,4146.18,,360,NA,NA,2,2,2,2,585000,1,3,3,5,2,NA,0,<20%,3,10,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,1,5,1,4,45-54,9999,No,NA,2,1,6,,,,,10,,,,2234,39.97,126600,54.53,435,1135,76
2020,2549005SIVTHG14U2905,35004,NY,36103,36103170101,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,32,1,2,2,2,445000.0,70.875,5.49,NA,2,18270.36,NA,12742.8,4465.12,,360,NA,NA,2,2,2,2,635000,1,3,3,5,4,NA,0,<20%,3,10,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,1,5,1,4,45-54,9999,No,NA,2,1,6,,,,,10,,,,2234,39.97,126600,54.53,435,1135,76
2020,2549005SIVTHG14U2905,35004,NY,36103,36103170101,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,32,1,2,2,2,325000.0,70.875,5.49,NA,2,16871.68,NA,9819.2,3295.68,,360,NA,NA,2,2,2,2,465000,1,3,3,5,1,NA,0,<20%,3,10,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,1,5,1,4,45-54,9999,No,NA,2,1,6,,,,,10,,,,2234,39.97,126600,54.53,435,1135,76
2020,2549005SIVTHG14U2905,35004,NY,36103,36103170101,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,32,1,2,2,2,495000.0,70.875,5.49,NA,2,19300.01,NA,13983.13,4961.25,,360,NA,NA,2,2,2,2,705000,1,3,3,5,2,NA,0,<20%,3,10,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,1,5,1,4,45-54,9999,No,NA,2,1,6,,,,,10,,,,2234,39.97,126600,54.53,435,1135,76
2020,2549005SIVTHG14U2905,35004,NY,36103,36103159411,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Female,3,0,2,1,1,1,2,2,2,265000.0,80.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,335000,1,1,3,5,1,NA,77,41,1,10,3,,,,,5,,,,,2,4,5,,,,,8,,,,,1,4,2,5,1,4,45-54,9999,No,NA,2,1,6,,,,,9,,,,3477,16.8,126600,85.17,930,1011,36
2020,2549005SIVTHG14U2905,35004,NY,36103,36103112002,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,1,1,2,2,2,275000.0,75.0,5.615,NA,2,14074.13,NA,6217.5,,,360,NA,60,2,2,2,2,365000,1,3,3,5,1,NA,0,<20%,1,10,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,1,5,1,4,55-64,9999,No,NA,2,1,6,,,,,10,,,,4865,16.4,126600,102.61,1408,1703,56
2020,2549005SIVTHG14U2905,15380,NY,36029,36029012902,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Female,3,0,2,1,32,1,2,2,2,135000.0,60.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,60,2,1,2,2,235000,1,3,3,5,1,NA,0,<20%,2,10,2,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,Yes,NA,2,1,6,,,,,9,,,,3470,3.11,77600,138.97,977,1017,35
2020,2549005SIVTHG14U2905,35614,NY,36005,36005051600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,3,0,2,1,32,1,2,2,2,815000.0,65.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,1255000,1,3,3,5,3,NA,0,<20%,1,10,2,,,,,5,,,,,2,4,2,26,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,2,1,6,,,,,9,,,,4439,31.81,81800,163.89,1218,1864,76
2020,2549005SIVTHG14U2905,35614,NY,36061,36061005800,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,32,1,2,2,2,2605000.0,49.075,NA,NA,3,NA,NA,NA,NA,NA,360,NA,60,2,2,2,2,5305000,1,3,3,5,1,NA,0,<20%,2,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,65-74,9999,Yes,NA,2,1,6,,,,,3,,,,3206,30.6,81800,370.04,127,26,13
2020,2549005SIVTHG14U2905,35614,NY,36005,36005034800,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,0,2,1,32,1,2,2,2,495000.0,75.0,6.375,3.015,2,22818.3,NA,5292.5,3712.5,,360,NA,NA,2,2,2,2,665000,1,1,3,5,2,NA,138,45,3,10,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,No,NA,2,1,6,,,,,10,,,,7306,97.89,81800,56.49,670,983,67
2020,2549005SIVTHG14U2905,35614,NY,36047,36047079000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,0,2,1,1,1,2,2,2,705000.0,80.0,5.625,NA,2,35871.24,NA,23811.2,1699.2,,360,NA,NA,2,2,2,2,885000,1,3,3,5,2,NA,0,<20%,2,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,2,1,6,,,,,10,,,,5288,98.24,81800,77.11,379,836,76
2020,2549005SIVTHG14U2905,35614,NY,36005,36005003900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,2,0,2,1,32,1,2,2,2,915000.0,60.0,9.74,NA,3,NA,NA,NA,NA,NA,60,NA,NA,2,1,2,2,1525000,1,3,3,5,4,NA,0,<20%,1,10,2,,,,,5,,,,,1,4,3,,,,,8,,,,,1,4,1,5,1,4,>74,9999,Yes,NA,2,1,6,,,,,10,,,,6614,98.11,81800,52.29,111,523,76
2020,2549005SIVTHG14U2905,35614,NY,36047,36047061002,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,32,1,2,2,2,1545000.0,83.243,NA,NA,3,NA,NA,NA,NA,NA,360,NA,60,2,2,2,2,1855000,1,3,3,5,1,NA,0,<20%,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,35-44,9999,No,NA,2,1,6,,,,,9,,,,4282,0.82,81800,166.76,1153,100,45
2020,2549005SIVTHG14U2905,35614,NY,36047,36047079000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Black or African American,Female,1,0,2,1,32,1,2,2,2,705000.0,55.197,4.75,NA,2,37077.91,NA,32424.0,10515.0,,360,NA,NA,2,2,2,2,1275000,1,3,3,5,4,NA,0,<20%,2,10,3,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,2,1,6,,,,,10,,,,5288,98.24,81800,77.11,379,836,76
2020,2549005SIVTHG14U2905,35004,NY,36059,36059407900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,0,2,1,1,1,2,2,2,405000.0,50.955,4.375,1.733,2,18078.0,NA,9580.0,,,360,NA,60,2,2,2,2,785000,1,1,3,5,1,NA,1215,<20%,3,10,2,,,,,5,,,,,1,4,2,,,,,8,,,,,1,4,1,5,1,4,25-34,9999,No,NA,2,1,6,,,,,10,,,,6096,23.97,126600,105.28,1809,1785,40
2020,2549005SIVTHG14U2905,35614,NY,36079,36079010900,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,0,2,2,1,1,2,2,2,395000.0,95.0,4.125,1.642,2,23143.14,NA,7512.85,5932.85,343.93,360,NA,NA,2,2,2,2,415000,1,1,3,5,1,NA,86,50%-60%,2,3,1,11,,,,1,11,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,3,,,,,10,,,,7535,13.19,81800,194.4,2306,3251,57
2020,2549005SIVTHG14U2905,35614,NY,36047,36047012600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,3,0,2,1,32,1,2,2,2,1125000.0,70.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,1605000,1,3,3,5,3,NA,153,>60%,1,9,2,,,,,2,,,,,2,2,22,,,,,22,,,,,2,2,1,1,2,2,35-44,65-74,No,Yes,2,1,6,,,,,6,,,,2767,67.47,81800,60.39,297,494,76
2020,2549005SIVTHG14U2905,35614,NY,36081,36081100801,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,3,0,2,1,32,1,2,2,2,545000.0,74.897,NA,NA,3,NA,NA,NA,NA,NA,360,NA,60,2,2,2,2,725000,1,3,3,5,2,NA,0,<20%,1,10,2,,,,,5,,,,,1,4,3,,,,,8,,,,,1,4,1,5,1,4,45-54,9999,No,NA,2,1,6,,,,,9,,,,2277,54.33,81800,118.72,415,683,61
2020,2549005SIVTHG14U2905,35614,NY,36047,36047043900,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,3,0,2,1,1,1,2,2,2,1005000.0,80.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,1255000,1,3,3,5,2,NA,0,<20%,1,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,1,4,45-54,9999,No,NA,2,1,6,,,,,9,,,,4155,95.07,81800,58.85,267,985,76
2020,2549005SIVTHG14U2905,35614,NY,36081,36081039400,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,0,2,2,1,1,2,2,2,445000.0,86.6,4.0,1.08,2,14557.36,NA,1580.0,,176.23,360,NA,NA,2,2,2,2,505000,1,1,3,5,1,NA,81,45,3,9,1,,,,,1,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,25-34,No,No,1,1,3,,,,,10,,,,3010,99.44,81800,99.11,569,985,70
2020,2549005SIVTHG14U2905,35614,NY,36085,36085007000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,31,1,2,2,2,405000.0,58.824,3.875,0.27,2,7107.3,NA,1580.0,,,360,NA,NA,2,2,2,2,685000,1,1,3,5,1,NA,95,50%-60%,3,10,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,2,5,1,4,35-44,9999,No,NA,1,1,1,,,,,10,,,,8963,30.32,81800,109.43,2013,2848,46
2020,2549005SIVTHG14U2905,35004,NY,36103,36103200902,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Sex Not Available,2,0,2,1,31,1,2,2,2,1495000.0,39.867,5.115,NA,3,NA,NA,NA,NA,NA,360,NA,60,2,1,2,2,3755000,1,3,3,5,1,NA,0,<20%,1,3,2,,,,,2,,,,,2,3,5,,,,,5,,,,,2,2,3,3,3,2,65-74,65-74,Yes,Yes,2,1,6,,,,,10,,,,6991,21.54,126600,110.85,2565,6541,34
2020,2549005SIVTHG14U2905,35004,NY,36103,36103200902,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,2,0,2,1,32,1,2,2,2,1905000.0,63.333,5.615,NA,3,NA,NA,NA,NA,NA,360,NA,60,2,1,2,2,3005000,1,3,3,5,1,NA,0,<20%,1,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,2,1,6,,,,,10,,,,6991,21.54,126600,110.85,2565,6541,34
2020,2549005SIVTHG14U2905,35004,NY,36059,36059409100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,0,2,1,1,1,2,2,2,505000.0,80.0,3.625,0.152,2,16093.76,NA,12280.0,10700.0,,360,NA,NA,2,2,2,2,625000,1,1,3,5,1,NA,111,47,2,3,1,,,,,1,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,25-34,No,No,1,1,1,,,,,10,,,,5116,23.1,126600,86.99,1600,1744,66
